time,lat,lon
1711976258,4.4660193665272,127.08916883234
1711976267,4.0082426755924,127.41391536358
1711976276,3.5503075223684,127.73825434166
1711976285,3.0922372162253,128.06222909377
1711976294,2.6340488593884,128.38588716926
1711976303,2.1757615431299,128.70927455433
1711976312,1.7173943090654,129.03243713877
1711976321,1.2589641077906,129.3554221754
1711976330,0.80049400455864,129.67827252136
1711976339,0.34200089116602,130.00103531684
1711976348,-0.11649630887122,130.32375622496
1711976357,-0.5749807310538,130.64648233462
1711976366,-1.0334293636506,130.96925640564
1711976375,-1.4918253373044,131.29212554044
1711976384,-1.9501497185641,131.61513542941
1711976393,-2.4083835515001,131.9383318094
1711976402,-2.8665098973883,132.26176192603
1711976411,-3.3245056352259,132.58546876516
1711976420,-3.7823537416841,132.90949974355
1711976429,-4.2400350903556,133.2339009426
1711976438,-4.6975304920371,133.55871856961
1711976447,-5.1548227301596,133.88400042883
1711976456,-5.6118883764652,134.20979011892
1711976465,-6.068710048314,134.53613577327
1711976474,-6.5252682222852,134.86308426179
1711976483,-6.9815453094893,135.19068412593
1711976492,-7.4375174894434,135.51897973383
1711976501,-7.8931669398427,135.84802008293
1711976510,-8.3484736676387,136.1778529612
1711976519,-8.8034175405903,136.5085264261
1711976528,-9.2579803095083,136.84009030491
1711976537,-9.7121374727478,137.17259027804
1711976546,-10.165870459485,137.5060767879
1711976555,-10.619158490455,137.84059913044
1711976564,-11.071980601479,138.17620695127
1711976573,-11.524317654923,138.51295176977
1711976582,-11.97614424381,138.85088096854
1711976591,-12.427440814732,139.19004684129
1711976600,-12.878185567216,139.53050059268
1711976609,-13.328358477917,139.87229538802
1711976618,-13.777933243184,140.21548025154
1711976627,-14.226889343292,140.56010924939
1711976636,-14.675203979445,140.90623540001
1711976645,-15.122854076674,141.25391221465
1711976654,-15.569818269346,141.60319527805
1711976663,-16.016068900708,141.95413601117
1711976672,-16.461584000116,142.30679105457
1711976681,-16.906339275925,142.66121604546
1711976690,-17.350310103305,143.01746719049
1711976699,-17.793473491456,143.37560288586
1711976708,-18.2358001506,143.7356773196
1711976717,-18.677266366201,144.09775009148
1711976726,-19.117846058159,144.46187983186
1711976735,-19.557514714163,144.82812745429
1711976744,-19.996241518713,145.19654961051
1711976753,-20.43400113266,145.56720852667
1711976762,-20.870765813457,145.94016547666
1711976771,-21.30650736876,146.31548242687
1711976780,-21.741199083075,146.69322374195
1711976789,-22.174807935148,147.07344943067
1711976798,-22.607306242768,147.45622528778
1711976807,-23.038663870107,147.84161616053
1711976816,-23.468850158112,148.22968764096
1711976825,-23.897835824019,148.62050782761
1711976834,-24.325585280155,149.01414033236
1711976843,-24.752068124431,149.41065476918
1711976852,-25.177251447749,149.81011978391
1711976861,-25.60110173795,150.21260479963
1711976870,-26.023586748644,150.61818184007
1711976879,-26.44466793374,151.02691826558
1711976888,-26.864311762396,151.43888765175
1711976897,-27.282482140717,151.85416255049
1711976906,-27.699144145059,152.27281817296
1711976915,-28.114256560454,152.6949248843
1711976924,-28.527783038558,153.1205594264
1711976933,-28.939684622048,153.54979743943
1711976942,-29.349921592304,153.98271531578
1711976951,-29.758455273334,154.41939214849
1711976960,-30.165240715639,154.85990189161
1711976969,-30.570237635486,155.30432505509
1711976978,-30.973403083181,155.75274089378
1711976987,-31.374693254391,156.20522932845
1711976996,-31.7740652523,156.66187297067
1711977005,-32.171469936064,157.12274891
1711977014,-32.566862614347,157.58794092905
1711977023,-32.96019587658,158.05753132093
1711977032,-33.351423108272,158.53160501076
1711977041,-33.740491486456,159.0102410145
1711977050,-34.127352455487,159.49352510572
1711977059,-34.511954703984,159.98154130602
1711977068,-34.89424590114,160.47437393658
1711977077,-35.274174372842,160.97210979155
1711977086,-35.651682302154,161.47482914807
1711977095,-36.026715904281,161.98261904242
1711977104,-36.399218606916,162.49556431292
1711977113,-36.769132739532,163.01374972858
1711977122,-37.136401155598,163.53726224975
1711977131,-37.500960664448,164.06618154504
1711977140,-37.862751870939,164.6005939273
1711977149,-38.221712585576,165.14058290465
1711977158,-38.577781048262,165.68623384125
1711977167,-38.930889566371,166.23762404798
1711977176,-39.280974059345,166.79483728245
1711977185,-39.627967673776,167.35795387475
1711977194,-39.971802378796,167.92705300276
1711977203,-40.312410480454,168.50221511728
1711977212,-40.649718546715,169.08351146202
1711977221,-40.983656547125,169.67101932301
1711977230,-41.314151753309,170.26481158552
1711977239,-41.641130277263,170.86495909667
1711977248,-41.96451852003,171.47153318759
1711977257,-42.284237419176,172.08459458551
1711977266,-42.600211140432,172.70420946093
1711977275,-42.912361299152,173.33043837959
1711977284,-43.220609807194,173.96334160453
1711977293,-43.524873406107,174.60296750119
1711977302,-43.825071967075,175.24936925657
1711977311,-44.121122996789,175.90259332825
1711977320,-44.412943064072,176.56268198726
1711977329,-44.700449119651,177.22967603699
1711977338,-44.983553423284,177.90360257093
1711977347,-45.262171309556,178.58449257244
1711977356,-45.536216085658,179.27236872407
1711977365,-45.805600390108,179.96724807503
1711977374,-46.070237433913,-179.3308555185
1711977383,-46.330036363909,-178.62194263352
1711977392,-46.584909441142,-177.90601222598
1711977401,-46.83476737233,-177.18307280788
1711977410,-47.079521676941,-176.45313675862
1711977419,-47.319080429831,-175.71623370542
1711977428,-47.553354928681,-174.97239123603
1711977437,-47.782255401811,-174.2216482038
1711977446,-48.005692226979,-173.46405175493
1711977455,-48.223577011474,-172.6996541598
1711977464,-48.435818844762,-171.92852676216
1711977473,-48.642330272283,-171.15073971101
1711977482,-48.843023508127,-170.36637581639
1711977491,-49.037811560244,-169.57552734513
1711977500,-49.226609204011,-168.77829261859
1711977509,-49.409329780125,-167.9747904485
1711977518,-49.585890409864,-167.16513887796
1711977527,-49.756208745868,-166.34946950568
1711977536,-49.92020398625,-165.52792400224
1711977545,-50.077797723514,-164.70065043258
1711977554,-50.228911315581,-163.86781807328
1711977563,-50.373470274713,-163.02959518479
